# Created make check_names.py to find unit_config_names
#   that do not have matching names in names.json
#   names.json - Created by make_names_list.py from game data
# Edited by hand to add in missing actors, se
#  - $name to reference an existing key
#  - raw string to set a value
# Comments are #
ActorLinkDeleteControlActor, 
AddAutoPlacementCreator, 
AirWall, 
AirWallCaveMaster, 
AirWallCharacterOnly, 
AirWallCreature, 
AirWallDungeonBossZonauEnergyWall, 
AirWallEnemy, 
AirWallEnemyLong, 
AirWallEnemyVehicle, 
AirWallEnemyVehicle_Kohga, 
AirWallForBossBattleField, 
AirWallGiant, 
AirWallGroundObject, 
AirWallGroundObjectEvent, 
AirWallHorse, 
AirWallHorseCylinder, 
AirWallIce, 
AirWallMiniGame, 
AirWallNpc, 
AirWallSage, 
AirWallStopFlow, 
AlwaysRespawnTag, 
AnchorAction1, 
AnchorAction10, 
AnchorAction10_Rain, 
AnchorAction1_Rain, 
AnchorAction2, 
AnchorAction2_Rain, 
AnchorAction3, 
AnchorAction3_Rain, 
AnchorAction4, 
AnchorAction4_Rain, 
AnchorAction5, 
AnchorAction5_Rain, 
AnchorAction6, 
AnchorAction6_Rain, 
AnchorAction7, 
AnchorAction7_Rain, 
AnchorAction8, 
AnchorAction8_Rain, 
AnchorAction9, 
AnchorAction9_Rain, 
AnchorSleep, 
AnchorSleep2, 
AnchorWander2_Rain, 
AnchorWander_Rain, 
AnchorWaypoint1, 
AnchorWaypoint2, 
Animal_Crow_Swarm, 
Animal_Dog_B, 
Animal_Dog_C, 
Animal_Donkey_B, 
Animal_Donkey_B_MOTD, 
Animal_Donkey_C, 
Animal_Fish_A, $Item_FishGet_A
Animal_Fish_AA, $Item_FishGet_AA
Animal_Fish_AC, $Item_FishGet_AC
Animal_Fish_B, $Item_FishGet_B
Animal_Fish_C, $Item_FishGet_C
Animal_Fish_D, $Item_FishGet_D
Animal_Fish_E, $Item_FishGet_E
Animal_Fish_F, $Item_FishGet_F
Animal_Fish_G, $Item_FishGet_G
Animal_Fish_H, $Item_FishGet_J
Animal_Fish_I, $Item_FishGet_I
Animal_Fish_J, $Item_FishGet_J
Animal_Fish_L, $Item_FishGet_L
Animal_Fish_M, $Item_FishGet_M
Animal_Fish_X, $Item_FishGet_X
Animal_Fish_Z, $Item_FishGet_Z
Animal_Gull_Swarm, 
Animal_Horse_A, $GameRomHorse
